Countries,CB 1,CB 2,CB 3,NP 1,NP 2,NS 1,NS 2,MT 1,RS 1,RS 2,FC 1,CC 1,CC 2,CC 3,AT 1,AT 2,Special Case,Footnote,Footnote,Footnote,Footnote,Footnote,Footnote
Sri Lanka,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
St. Kitts and Nevis,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
St. Lucia,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
St. Vincent and the Grenadines,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Sudan 1,X,X,,X,,X,X,X,X,X,,X,X,X,,,,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Surinam,,,,,,,,,,,,,,,,,,,,,,,
Suriname,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Sweden 3 4,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,,
Switzerland 3 4,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,,
Syria,,,,,,,,,,,,,,,,,See § 746.9 of the EAR to determine whether a license is required in order to export or reexport to this destination.,,,,,,
Taiwan,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Tajikistan,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Tanzania,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Thailand,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
The Bahamas,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Timor-Leste,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Togo,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Tonga,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Trinidad & Tobago,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Tunisia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Turkmenistan,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Tuvalu,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Türkiye,X,,,,,X,,X,X,,,,X,,,,,,,,,,
Uganda,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Ukraine 9,X,,,,,X,X,X,X,X,,X,X,,,,,See § 746.6 of the EAR for additional license requirements for exports and reexports to the Crimea region of Ukraine and the so-called Donetsk People's Republic (DNR) and Luhansk People's Republic (LNR) regions of Ukraine and transfers (in-country) within the Crimea  DNR  and LNR regions of Ukraine for all items subject to the EAR  other than food and medicine designated as EAR99 and certain EAR99 or ECCN 5D992.c software for internet-based communications.,,,,,
United Arab Emirates,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
United Kingdom,X,,,,,,,,,,,,X,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Uzbekistan,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Vanuatu,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Vatican City,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Venezuela,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Vietnam,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Western Sahara,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Yemen,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Zambia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Zimbabwe
,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
